global_feature_idx,feature,family,mean_abs_shap,lgbm_gain,pearson,spearman,abs_spearman
2101,log2fc_pred__log2fc_8p25_pred,log2fc_pred,0.7207047376654101,37727.55024795824,0.759909019660896,0.8269186486490113,0.8269186486490113
2102,log2fc_pred__log2fc_33_pred,log2fc_pred,0.1871999267728392,2118.789875691582,0.774628870584188,0.7441502919442559,0.7441502919442559
2082,boltz_tier1__pde_pocket_ligand_min,boltz_tier1_conf,0.2157881923418407,33.97714115388226,-0.3980210942989085,-0.3702057232386821,0.3702057232386821
535,mordred__MPC10,mordred,0.182478951053697,48.248690871638246,0.24605627870761967,0.32297027749516904,0.32297027749516904
307,mordred__Si,mordred,,140.3150593972823,0.33451413228720367,0.3228123971885958,0.3228123971885958
102,chemeleon_102,chemeleon,0.1552215493289445,8.74136588544934,-0.3024296415103372,-0.28119869837693806,0.28119869837693806
67,chemeleon_067,chemeleon,,190.5602526536677,-0.23348731204584172,-0.17449755456890792,0.17449755456890792
854,mordred__GATS4v,mordred,0.1653548674586251,14.941339195822366,-0.1900047338939908,-0.17111853014539366,0.17111853014539366
372,mordred__JGI3,mordred,0.1637448013094072,10.613453554658918,0.14092267566448835,0.16011619191252105,0.16011619191252105
682,mordred__AATS4v,mordred,0.1513308584872649,18.30372161453124,0.12972702561733152,0.09266262315557611,0.09266262315557611
865,mordred__GATS6d,mordred,0.194081105106546,34.6861109356978,0.2147230675193733,0.09151841748352005,0.09151841748352005
193,chemeleon_193,chemeleon,0.1706926623748713,21.09018894142355,0.1758481717162175,0.08312838513456182,0.08312838513456182
832,mordred__GATS2c,mordred,0.1513141256057301,8.913979754957836,0.10286434925366923,0.08150303886103044,0.08150303886103044
2005,rdkit__FpDensityMorgan3,rdkit_full,0.1621883776524809,18.47862222939148,0.09717478479370327,0.04523262211971992,0.04523262211971992
946,mordred__MATS8i,mordred,0.1702177047377591,9.797491292876655,-0.09737199424982289,-0.044374378218441764,0.044374378218441764
160,chemeleon_160,chemeleon,0.155154882208088,21.754717628180515,-0.0461558329666074,-0.013550193427613657,0.013550193427613657
