compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,rocs_inplace_shape,rocs_inplace_color,rocs_inplace_combo,rocs_best_shape,rocs_best_color,rocs_best_combo,skipped,error
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,boltz_model_0,10.02970621304533,0.22750554978847504,0.000931838876567781,0.22843738866504282,0.4425016939640045,0.26573196053504944,0.708233654499054,,
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,boltz_model_1,10.223390431638421,0.23233118653297424,0.0008233730914071202,0.23315455962438136,0.4424757659435272,0.2641662061214447,0.7066419720649719,,
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,boltz_model_2,10.25699088304204,0.21714180707931519,0.0006689324509352446,0.21781073953025043,0.4393899738788605,0.26503634452819824,0.7044263184070587,,
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,boltz_model_3,5.266476377863592,0.24550601840019226,0.003471637610346079,0.24897765601053834,0.4596361815929413,0.26310068368911743,0.7227368652820587,,
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,boltz_model_4,6.415532248555504,0.23865075409412384,0.0010904758237302303,0.23974122991785407,0.44067642092704773,0.26445966958999634,0.7051360905170441,,
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,gnina_refined,9.896467215580362,0.23297075927257538,0.002622386673465371,0.23559314594604075,0.43379834294319153,0.24340036511421204,0.6771987080574036,,
x00113-1,17,5X0R,4WH,8.0,0.47058823529411764,template_transferred,0.02384545360832051,0.3564717173576355,0.15854036808013916,0.5150120854377747,0.4562655985355377,0.27232861518859863,0.7285942137241364,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_0,6.819004798367133,0.21873930096626282,0.03411361947655678,0.2528529204428196,0.3019699156284332,0.15959130227565765,0.4615612179040909,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_1,6.52644958363409,0.22705696523189545,0.03785819560289383,0.2649151608347893,0.2786731719970703,0.12652921676635742,0.40520238876342773,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_2,6.673278757502675,0.20791487395763397,0.02884904108941555,0.23676391504704952,0.3235514461994171,0.15858563780784607,0.4821370840072632,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_3,6.599533118149739,0.21180760860443115,0.04067736491560936,0.2524849735200405,0.3018905222415924,0.15837861597537994,0.46026913821697235,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_4,6.833842480083697,0.21512332558631897,0.025072360411286354,0.24019568599760532,0.30813899636268616,0.15950213372707367,0.4676411300897598,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,gnina_refined,6.8257812330904235,0.197599396109581,0.015063523314893246,0.21266291942447424,0.30958113074302673,0.15858010947704315,0.4681612402200699,,
x00162-1,19,9BEQ,AP1,10.0,0.5263157894736842,template_transferred,0.045075481940022526,0.30989089608192444,0.15528731048107147,0.4651782065629959,0.2728232741355896,0.15799318253993988,0.4308164566755295,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,boltz_model_0,4.794917256947046,0.13760772347450256,0.01153738982975483,0.1491451133042574,0.4221568703651428,0.29598575830459595,0.7181426286697388,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,boltz_model_1,4.408872624551534,0.2096078246831894,0.005485821980983019,0.2150936466641724,0.41706255078315735,0.30753329396247864,0.724595844745636,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,boltz_model_2,4.745077081652076,0.2036227285861969,0.03953779116272926,0.24316051974892616,0.4533717930316925,0.30601784586906433,0.7593896389007568,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,boltz_model_3,4.061017068842608,0.1608772873878479,0.00023950476315803826,0.16111679215100594,0.45296573638916016,0.3015875816345215,0.7545533180236816,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,boltz_model_4,4.904939617254893,0.14744548499584198,0.008549937047064304,0.15599542204290628,0.4233654737472534,0.2906421720981598,0.7140076458454132,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,gnina_refined,4.900845335192169,0.13802850246429443,0.012049290351569653,0.1500777928158641,0.42641520500183105,0.29678210616111755,0.7231973111629486,,
x00186-1,18,8SVO,WSO,11.0,0.6111111111111112,template_transferred,0.0765002274716822,0.47450020909309387,0.38194015622138977,0.8564403653144836,0.46875256299972534,0.3955783545970917,0.864330917596817,,
x00229-1,11,,,,,,,,,,,,,mcs_below_threshold,
x00242-1,12,6HTY,GRH,9.0,0.75,boltz_model_0,3.719230358091045,0.18560577929019928,0.010098970495164394,0.19570474978536367,0.3768177032470703,0.16676530241966248,0.5435830056667328,,
x00242-1,12,6HTY,GRH,9.0,0.75,boltz_model_1,3.716772360452712,0.17207252979278564,0.005295306444168091,0.17736783623695374,0.35379210114479065,0.16642379760742188,0.5202158987522125,,
x00242-1,12,6HTY,GRH,9.0,0.75,boltz_model_2,3.41962215910109,0.11803397536277771,0.021419096738100052,0.13945307210087776,0.36814814805984497,0.1441541463136673,0.5123022943735123,,
