source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,delta_spearman_vs_raw,train_gate_mean,test_gate_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
optuna_top500_minus_current_raw,positive_delta_x_num_rings_high_soft_q20,0.5,0.38746420759826683,-0.003979786989222467,0.852627364515097,0.0035966357143595307,0.1821256038647343,0.17673814165042234,0.009418890963918675,0.03406597874757314,0.10370005745145594,0.9996541466141036,0.06139799179053875,0.2861093358665737,0.10716762608038491,0.42590607958273774
optuna_top500_minus_current_raw,hbd_high_hard_q20,0.15,0.38798730094606965,-0.0034566936414196503,0.8519404225120049,0.0029096937112673693,1.0,1.0,0.018145604080622258,0.034655320220388044,0.07088347038349507,0.999501174710447,0.1709478358575502,0.5398086289294516,0.26806592620423264,0.7553624383495898
optuna_top500_minus_current_raw,family_gap_high_soft_q20,0.25,0.38799857369523316,-0.0034454208922561347,0.8518028621377709,0.002772133337033411,0.35172200178625607,0.3632681960751871,0.011066311615775662,0.03259925596210955,0.08602404299757271,0.9996049929460488,0.07876781735029507,0.3423713377627587,0.14073933994465657,0.5285660774455042
optuna_top500_minus_current_raw,num_aromatic_rings_high_hard_q20,0.15,0.3880371956112441,-0.0034067989762451845,0.8518464831294945,0.0028157543287570252,0.9685990338164251,0.9805068226120858,0.017477942215692942,0.034040041160679824,0.07088347038349507,0.999509085517783,0.16715809251576952,0.5408469538105982,0.2572542441973043,0.7434276793869576
optuna_top500_minus_current_raw,positive_delta_x_num_rings_high_hard_q70,0.5,0.3880389850879276,-0.003405009499561684,0.852044865577543,0.0030141367768055094,0.1608695652173913,0.14035087719298245,0.006344309245207129,0.019687099592233363,0.11762342402912562,0.9995068633808908,0.030156120461800696,0.12212346998094642,0.05299684129303668,0.18019208848219406
optuna_top500_minus_current_raw,positive_delta_x_num_rings_high_hard_q80,0.5,0.3880389850879276,-0.003405009499561684,0.852044865577543,0.0030141367768055094,0.1608695652173913,0.14035087719298245,0.006344309245207129,0.019687099592233363,0.11762342402912562,0.9995068633808908,0.030156120461800696,0.12212346998094642,0.05299684129303668,0.18019208848219406
optuna_top500_minus_current_raw,hba_high_hard_q20,0.15,0.3880450829847966,-0.003398911602692678,0.8518726003222704,0.0028418715215329238,0.8951690821256039,0.9590643274853801,0.017454239813064206,0.03428607618203899,0.07088347038349507,0.9995156630429838,0.16504468648310536,0.5310168725843795,0.25856021813238766,0.7424952149668974
optuna_top500_minus_current_raw,num_heteroatoms_high_hard_q20,0.15,0.38807127766544974,-0.0033727169220395536,0.8517809054415053,0.0027501766407678208,0.868840579710145,0.9707602339181286,0.01748446944875943,0.03430362426553426,0.07088347038349507,0.9995088188613558,0.1669390844136799,0.5402946408119917,0.25919171263075313,0.748019835245628
optuna_top500_minus_current_raw,num_rings_high_hard_q20,0.15,0.3880870069053044,-0.0033569876821848976,0.851830987662409,0.0028002588616714563,0.9388888888888889,0.9961013645224172,0.017972053546315214,0.0343284501961163,0.07088347038349507,0.9995074855792206,0.16813274587552904,0.5348639792271025,0.26354175796329704,0.7483559287468422
optuna_top500_minus_current_raw,member_range_high_hard_q20,0.15,0.3881605440397747,-0.003283450547714617,0.8516861514293306,0.002655422628593085,0.8,0.8830409356725146,0.01726584640071253,0.034655320220388044,0.07088347038349507,0.999497441520468,0.1664796093826279,0.5313562875892928,0.2620924212981676,0.7468482062628374
optuna_top500_minus_current_raw,positive_delta_x_family_gap_high_soft_q20,0.25,0.3881660514481717,-0.0032779431393176184,0.8515736845913727,0.0025429557906352374,0.25708674752605754,0.2851578331626878,0.009660634771003845,0.032534876618388255,0.08602404299757271,0.9996359250915878,0.07344827047251991,0.34971127156782383,0.13105552913375318,0.5350507238305366
optuna_top500_minus_current_raw,exactmw_high_soft_q20,0.35,0.3881807113191764,-0.0032632832683128776,0.8518274544155198,0.0027967256147822805,0.3364443664385014,0.3014304285504546,0.01318379410294998,0.03407110625346715,0.09748413712378667,0.9994399326176987,0.10435489067095213,0.35886238509476026,0.1813316420027533,0.5504469619407238
optuna_top500_minus_current_raw,family_gap_high_soft_q30,0.25,0.3881910938793876,-0.0032529007081016914,0.8516027250312038,0.0025719962304663335,0.2918983221288786,0.31164449627094526,0.009852129650274773,0.030718668938746425,0.08602404299757271,0.9996288142535328,0.07071099775021626,0.3250508576980534,0.12788206716301448,0.5065088456039825
optuna_top500_minus_current_raw,member_std_high_hard_q20,0.15,0.3881941358833302,-0.0032498587041591143,0.8516616996866139,0.0026309708858763825,0.8,0.8927875243664717,0.017256686307173665,0.034655320220388044,0.07088347038349507,0.9994995747718844,0.1657597523629656,0.5301936644365215,0.26101070881677024,0.7453106871249139
optuna_top500_minus_current_raw,num_rotatable_bonds_low_hard_q80,0.15,0.3882710201761849,-0.0031729744113043745,0.8517658417264506,0.002735112925713157,0.8743961352657005,0.9220272904483431,0.0165285808568387,0.034130817800970624,0.07088347038349507,0.9995409065180788,0.16420109593233898,0.5430743401627268,0.249033299795236,0.7359881861158862
optuna_top500_minus_current_raw,member_std_high_hard_q30,0.15,0.38827850089454774,-0.0031654936929415567,0.8515195742914441,0.0024888454907066038,0.7,0.7953216374269005,0.016229067853602445,0.034655320220388044,0.07088347038349507,0.9995253515598336,0.16071220851782567,0.5228647134061932,0.2526289284736329,0.7340247142276534
optuna_top500_minus_current_raw,num_heavy_atoms_high_soft_q20,0.35,0.3882977644573011,-0.003146230130188221,0.851690219842417,0.002659491041679507,0.31945786366076223,0.2510288065843621,0.010787258072514815,0.028901110064940738,0.09748413712378667,0.9995520172025395,0.0755626907696949,0.3011820605918935,0.14215940884699818,0.4994416626056679
optuna_top500_minus_current_raw,member_range_high_hard_q30,0.15,0.3883034165336476,-0.003140578053841714,0.8515619793422736,0.002531250541536134,0.7,0.8050682261208577,0.016390329732058697,0.034655320220388044,0.07088347038349507,0.9995041079311445,0.16252457838433304,0.5263736405171447,0.2556306378419771,0.7390506636942009
optuna_top500_minus_current_raw,positive_delta_x_family_gap_high_soft_q30,0.25,0.3883068090651442,-0.0031371855223450984,0.8514497685452773,0.0024190397445398304,0.22920356769401498,0.25748353781740285,0.00893573363636345,0.030214654885402224,0.08602404299757271,0.9996481912872325,0.0679686354447055,0.33283887863137623,0.12231683607893205,0.5134733430245436
optuna_top500_minus_current_raw,logp_high_hard_q20,0.15,0.3883177626408682,-0.003126231946621094,0.8517208251931055,0.0026900963923680576,0.8,0.8401559454191033,0.015016436085434043,0.031951693868446894,0.0672908078883494,0.9995360178169159,0.13610111204488543,0.4851600446758179,0.21352723049266975,0.6769033271837024
optuna_top500_minus_current_raw,positive_delta_x_member_range_high_soft_q20,0.35,0.3883204230663212,-0.0031235715211681003,0.8518736658348718,0.0028429370341342963,0.13378167826908413,0.12891680311666473,0.006069157741267863,0.018615947210490272,0.1134969487636317,0.9997073890140398,0.05461060729325703,0.31426656107437506,0.094259849710127,0.4682543385697182
optuna_top500_minus_current_raw,abs_family_gap_high_hard_q20,0.15,0.3883306405972707,-0.0031133539902186147,0.8515024519326475,0.0024717231319100197,0.8,0.8693957115009746,0.016502077052234138,0.03421760295291278,0.07088347038349507,0.9995361067023917,0.15599963339603581,0.5114795609826549,0.24789533245162249,0.7250321430390603
optuna_top500_minus_current_raw,member_range_high_soft_q20,0.25,0.3883350978246254,-0.003108896762863911,0.8514746174558925,0.002443888655154991,0.28560859833723656,0.3006347682146267,0.011382889990956024,0.030495184871539217,0.10897020266990287,0.9997258771929826,0.13600285494271364,0.49052583175926495,0.20839760565500237,0.6741157532311055
optuna_top500_minus_current_raw,tpsa_high_hard_q20,0.15,0.388361882835529,-0.0030821117519602703,0.8516953778670726,0.002664649066335123,0.8045893719806764,0.8557504873294347,0.015441123518395496,0.03326317531019445,0.07088347038349507,0.9995689943283959,0.14051665852153036,0.4818197816381021,0.22688110683741777,0.693787446663931
optuna_top500_minus_current_raw,num_heavy_atoms_high_hard_q20,0.15,0.38836733201251405,-0.003076662574975242,0.8517441118987121,0.002713383097974642,0.8004830917874396,0.8109161793372319,0.014763555004996308,0.03293753037815552,0.0672908078883494,0.9996324585580361,0.13153012886095197,0.4615742967414506,0.2129343490252025,0.666075184613195
optuna_top500_minus_current_raw,positive_delta_x_member_std_high_soft_q20,0.35,0.38838523653563023,-0.0030587580518590674,0.8518398373952357,0.002809108594498233,0.13014328266153508,0.12639538865339392,0.0059944364463190005,0.018009722098924114,0.10126082571693518,0.9997532539194941,0.0545596150415919,0.31341855423815607,0.09307477333648233,0.4618596617189462
optuna_top500_minus_current_raw,exactmw_high_hard_q20,0.15,0.3883875853155222,-0.0030564092719670977,0.8515810667393484,0.002550337938610925,0.8,0.8362573099415205,0.0151901017707801,0.03295808921504868,0.07088347038349507,0.999540017663322,0.13752711726964478,0.4790569355935435,0.2200217877499536,0.6817695164567726
optuna_top500_minus_current_raw,member_std_high_soft_q20,0.25,0.38840590853608625,-0.003038086051403044,0.8514454935575313,0.002414764756793808,0.2781388943394021,0.29872689380439493,0.011310223204365154,0.030274084933745015,0.10897020266990287,0.9997499651568937,0.1382444742116895,0.5001464058272285,0.2089543425159301,0.6779315698392564
optuna_top500_minus_current_raw,num_rings_low_hard_q70,0.15,0.388442501676696,-0.003001492910793324,0.8513935722048857,0.0023628434041481627,0.9384057971014492,0.9649122807017544,0.017526822754499505,0.034568322632038934,0.07088347038349507,0.999515574157508,0.16776690931603971,0.5391133112498341,0.2626295565268773,0.752910083038347
optuna_top500_minus_current_raw,num_rings_low_hard_q80,0.15,0.388442501676696,-0.003001492910793324,0.8513935722048857,0.0023628434041481627,0.9384057971014492,0.9649122807017544,0.017526822754499505,0.034568322632038934,0.07088347038349507,0.999515574157508,0.16776690931603971,0.5391133112498341,0.2626295565268773,0.752910083038347
optuna_top500_minus_current_raw,abs_family_gap_high_soft_q20,0.25,0.3884499890569972,-0.0029940055304921165,0.8513145539730106,0.0022838251722731018,0.2657409130483331,0.30385858582717695,0.011791979472799858,0.03166792844770612,0.11312694904163756,0.9996307697339979,0.1335280024366487,0.4512523181730244,0.21192868853957678,0.641033311154447
