fold,epochs_run,best_val_mae,loss_start,loss_end,input_dim,pca_variance,target_mean,target_std,val_MAE,val_RAE,val_R2,val_Spearman_R,val_Kendall_Tau
0,64,0.5418950915336609,0.9796334419931684,0.17033247649669647,64,0.9132910370826721,4.3062325636401715,1.1157568843088637,0.541895077833917,0.5978152992810193,0.5798377183684575,0.7241251444576128,0.5330009964059935
1,76,0.5142174959182739,0.9930102825164795,0.1577014582497733,64,0.9113503694534302,4.3484607242025275,1.1039290458056539,0.5142175181802496,0.5176221558024486,0.6610419332494094,0.7963105998737742,0.5943589057884215
2,74,0.5040286779403687,1.014231562614441,0.15738078951835632,64,0.9148596525192261,4.328602702694694,1.1412564848274103,0.5040286509061751,0.5934542531796512,0.5822484088676818,0.7697353588798899,0.5741143567747313
3,65,0.4626072347164154,1.0082446592194694,0.18375795653888158,64,0.9116703271865845,4.286644657716057,1.1454443875055935,0.46260723027157025,0.5933626974211501,0.5793666678835908,0.714448307481468,0.534640845731886
4,79,0.5670979022979736,1.0137661354882377,0.1573925678219114,64,0.9108970165252686,4.33425288974446,1.0989523420421081,0.5670978720658101,0.5646290597214367,0.6086727061815183,0.7606011679557891,0.5521439848037049
