name,path,mode,shrink,clip,oof_mae,oof_delta_mae,oof_spearman,oof_delta_spearman,test_mean_shift,test_mean_abs_shift,test_p90_abs_shift,test_max_abs_shift,projection_on_id50_direction,pearson_vs_id48
ens_selectivity_axis_raw_s30_c05,track1_activity/submissions/ens_selectivity_axis_raw_s30_c05.csv,raw,0.3,0.05,0.3983572155521725,-0.0006963127281460757,0.8423906823211497,-0.00013436764152974234,-0.012615964828643807,0.012935650913990933,0.01499999999999968,0.015000000000000124,0.3064699324991949,0.999982693683048
ens_selectivity_axis_raw_s20_c05,track1_activity/submissions/ens_selectivity_axis_raw_s20_c05.csv,raw,0.2,0.05,0.3985458194649022,-0.0005077088154163967,0.8424332796563735,-9.17703063059161e-05,-0.00841064321909586,0.008623767275993944,0.009999999999999787,0.009999999999999787,0.20431328833279705,0.9999923138494455
ens_selectivity_axis_raw_s30_c03,track1_activity/submissions/ens_selectivity_axis_raw_s30_c03.csv,raw,0.3,0.03,0.39858067055175245,-0.00047285772856614505,0.8424598909202653,-6.515904241410908e-05,-0.008214069823423788,0.008483986196941334,0.009000000000000341,0.009000000000000341,0.20367796087178486,0.9999942718236248
ens_selectivity_axis_centered_s30_c05,track1_activity/submissions/ens_selectivity_axis_centered_s30_c05.csv,centered,0.3,0.05,0.3986260001768806,-0.00042752810343799075,0.8423153322903826,-0.00020971767229682747,-0.00018808220535483338,0.004776916828019061,0.009087088584770343,0.015000000000000124,-0.0007253792661717201,0.9999698726956929
ens_selectivity_axis_anti_id50_s30_c05,track1_activity/submissions/ens_selectivity_axis_anti_id50_s30_c05.csv,anti_id50,0.3,0.05,0.3986260001768806,-0.00042752810343799075,0.8423153322903826,-0.00020971767229682747,-0.00020904044371074018,0.004779593820830247,0.009080000113439547,0.015000000000000124,0.00035411679199341505,0.9999698761494188
ens_selectivity_axis_centered_s30_c03,track1_activity/submissions/ens_selectivity_axis_centered_s30_c03.csv,centered,0.3,0.03,0.3986694744107685,-0.0003840538695500939,0.842366889198991,-0.00015816076368835308,-0.00047861682409120946,0.004398525414219472,0.008999999999999897,0.009000000000000341,0.0032155326445003616,0.999977566763731
ens_selectivity_axis_anti_id50_s30_c03,track1_activity/submissions/ens_selectivity_axis_anti_id50_s30_c03.csv,anti_id50,0.3,0.03,0.3986694744107685,-0.0003840538695500939,0.842366889198991,-0.00015816076368835308,-0.0004981921058550503,0.0044019908319698296,0.008999999999999897,0.009000000000000341,0.004241382879589217,0.9999775610225722
ens_selectivity_axis_raw_s20_c03,track1_activity/submissions/ens_selectivity_axis_raw_s20_c03.csv,raw,0.2,0.03,0.3987251831997757,-0.00032834508054291334,0.8424861515230382,-3.889843964122175e-05,-0.0054760465489491865,0.005655990797960881,0.006000000000000227,0.006000000000000227,0.1357853072478567,0.9999974557424496
ens_selectivity_axis_centered_s20_c05,track1_activity/submissions/ens_selectivity_axis_centered_s20_c05.csv,centered,0.2,0.05,0.39875010592147586,-0.00030342235884273094,0.8423867982440261,-0.00013825171865333719,-0.0001253881369032159,0.0031846112186793875,0.006058059056513799,0.009999999999999787,-0.0004835861774481584,0.9999866098495425
ens_selectivity_axis_anti_id50_s20_c05,track1_activity/submissions/ens_selectivity_axis_anti_id50_s20_c05.csv,anti_id50,0.2,0.05,0.39875010592147586,-0.00030342235884273094,0.8423867982440261,-0.00013825171865333719,-0.0001393602958071731,0.0031863958805535024,0.006053333408959994,0.009999999999999787,0.00023607786132977257,0.999986611443461
ens_selectivity_axis_raw_s10_c05,track1_activity/submissions/ens_selectivity_axis_raw_s10_c05.csv,raw,0.1,0.05,0.39878268247369897,-0.000270845806619624,0.8424889604479731,-3.608951470635002e-05,-0.004205321609547918,0.004311883637996958,0.004999999999999893,0.004999999999999893,0.10215664416639783,0.9999980798584105
ens_selectivity_axis_centered_s20_c03,track1_activity/submissions/ens_selectivity_axis_centered_s20_c03.csv,centered,0.2,0.03,0.39878835733160856,-0.0002651709487100362,0.842422405187475,-0.00010264477520438575,-0.00031907788272747035,0.0029323502761463205,0.005999999999999783,0.006000000000000227,0.0021436884296667973,0.9999900275581572
ens_selectivity_axis_anti_id50_s20_c03,track1_activity/submissions/ens_selectivity_axis_anti_id50_s20_c03.csv,anti_id50,0.2,0.03,0.39878835733160856,-0.0002651709487100362,0.842422405187475,-0.00010264477520438575,-0.00033212807057004883,0.0029346605546465517,0.005999999999999783,0.006000000000000227,0.002827588586393761,0.9999900250479075
ens_selectivity_axis_raw_s10_c03,track1_activity/submissions/ens_selectivity_axis_raw_s10_c03.csv,raw,0.1,0.03,0.3988811217222896,-0.0001724065580289702,0.8425105031493416,-1.4546813337790176e-05,-0.0027380232744746123,0.0028279953989804605,0.0030000000000001137,0.0030000000000001137,0.06789265362392825,0.9999993643361045
ens_selectivity_axis_centered_s10_c05,track1_activity/submissions/ens_selectivity_axis_centered_s10_c05.csv,centered,0.1,0.05,0.39889327591664786,-0.00016025236367073203,0.8424588176283481,-6.623233433133979e-05,-6.269406845161488e-05,0.0015923056093396833,0.0030290295282565443,0.004999999999999893,-0.00024179308872423965,0.9999966524366436
ens_selectivity_axis_anti_id50_s10_c05,track1_activity/submissions/ens_selectivity_axis_anti_id50_s10_c05.csv,anti_id50,0.1,0.05,0.39889327591664786,-0.00016025236367073203,0.8424588176283481,-6.623233433133979e-05,-6.968014790357919e-05,0.001593197940276731,0.0030266667044795527,0.004999999999999893,0.00011803893066412488,0.9999966528498491
ens_selectivity_axis_centered_s10_c03,track1_activity/submissions/ens_selectivity_axis_centered_s10_c03.csv,centered,0.1,0.03,0.39891391362791223,-0.00013961465240636128,0.8424703919820019,-5.4657980677497164e-05,-0.00015953894136373043,0.0014661751380731633,0.0030000000000001137,0.0030000000000001137,0.0010718442148330272,0.9999975063793631
ens_selectivity_axis_anti_id50_s10_c03,track1_activity/submissions/ens_selectivity_axis_anti_id50_s10_c03.csv,anti_id50,0.1,0.03,0.39891391362791223,-0.00013961465240636128,0.8424703919820019,-5.4657980677497164e-05,-0.0001660640352850058,0.0014673302773232737,0.0030000000000001137,0.0030000000000001137,0.0014137942931959518,0.9999975057621605
