source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,train_gate_mean,test_gate_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_family_gap_high_soft_q20,0.5,0.3846289292558417,-0.006815065331647607,0.8546991580913896,0.43172196840082794,0.44187935328027517,0.02580048184401639,0.06896556601290965,0.17204808599514543,0.998072162917833,0.1664568523953381,0.3267635923116807,0.3102268247911741,0.5264875315209884
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.5,0.384665131946686,-0.006778862640803296,0.8546422935754104,0.3772726106584206,0.3917220191076239,0.023602686937609592,0.06866183833524317,0.17204808599514543,0.9981213165858877,0.1574661506042827,0.3286164690742696,0.29405783240301087,0.527394915867958
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_family_gap_high_soft_q20,0.5,0.3846851956123681,-0.006758798975121216,0.8544710391238549,0.42384287124686904,0.43210432773645624,0.025664756822926828,0.07134633131600623,0.17204808599514543,0.9981242498065854,0.16940056359535843,0.33339755153981526,0.31295245908188685,0.5318316195432333
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_family_gap_high_soft_q20,0.5,0.3847189188658853,-0.0067250757216040236,0.8545647213661524,0.4172694651886961,0.42368479348061183,0.024946399311730018,0.06866183833524317,0.17204808599514543,0.9981355382619975,0.160957434319414,0.32191568518336183,0.300748712390547,0.51937402467014
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.5,0.38474408757733797,-0.006699907010151329,0.8543915773018594,0.3658020474593773,0.3762541363856557,0.023338903731633213,0.07080533670907486,0.17204808599514543,0.998189047318361,0.1603057113682053,0.3369501403002931,0.2963973360780075,0.5346896829184974
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.5,0.38478832103977173,-0.006655673547717567,0.8544633689720764,0.3548309103908491,0.3662494792723984,0.02257096215724697,0.06847625966215373,0.17204808599514543,0.9982037134218492,0.1515675791781069,0.3243190934084448,0.28377559687248366,0.5208326621020816
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_num_rings_high_soft_q20,0.5,0.38493049318656797,-0.006513501400921329,0.8542528268614124,0.46631330223880607,0.4759286194487464,0.028325648172125958,0.06836820665193565,0.18304213611650466,0.9984558815163721,0.20237196636829793,0.3684240446443372,0.35237809968215655,0.5678506857082942
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_num_rings_high_soft_q20,0.5,0.385016122432337,-0.006427872155152281,0.8544069806009633,0.4687050200921921,0.46917567064566057,0.02696732432140258,0.0646885057013689,0.18304213611650466,0.9985230789359912,0.19301179136226054,0.3701406654060287,0.33225570421583606,0.5657371201601643
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_num_rings_high_soft_q20,0.5,0.3851603707660999,-0.006283623821389417,0.8543112928172105,0.4553684000761269,0.4480443024420273,0.02547901781565678,0.06054949660871269,0.18304213611650466,0.9986376523141514,0.18112558678970367,0.36032978369796154,0.3110629287978304,0.5502459834233135
optuna_top500_minus_current_raw,family_gap_high_soft_q20,0.5,0.3853713642240317,-0.006072630363457621,0.8537799906566744,0.35172200178625607,0.3632681960751871,0.02213262323155137,0.06519851192421822,0.17204808599514543,0.9985739214280841,0.1575356347005905,0.34237133776275924,0.2814786798893135,0.5285660774455044
optuna_top500_minus_current_raw,positive_delta_AND_family_gap_high_soft_q20,0.5,0.38561892615572224,-0.005825068431767055,0.8534399285175212,0.25708674752605754,0.2851578331626878,0.019321269542007705,0.0650697532367758,0.17204808599514543,0.9986839616469841,0.14689654094503987,0.3497112715678241,0.26211105826750647,0.5350507238305368
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.5,0.3857725528064972,-0.005671441780992104,0.8540841269849857,0.3193149084902687,0.324639598457701,0.018339591717270932,0.05751397817681969,0.14287895576977405,0.9989187970737481,0.11002671770656228,0.29465653822519944,0.2086371909546756,0.4775486933477197
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.5,0.3858232434131777,-0.0056207511743116,0.8542866071876709,0.32847221230559664,0.3278364498217493,0.01732882655682871,0.05247632532524255,0.11585230611877506,0.9989205747832618,0.10202520948855472,0.29173129950256343,0.19082437631964388,0.46845373036505034
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.5,0.3860065604710425,-0.005437434116446815,0.8541024770382082,0.3027034169511171,0.29436036459629256,0.015423784835502923,0.046439702681229454,0.11111237173007549,0.9990747910835781,0.08848487318201473,0.27554608674704784,0.16692890180769704,0.44462706251142686
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_family_gap_high_soft_q20,0.35,0.38626966237523697,-0.0051743322122523305,0.8534004232066839,0.43172196840082794,0.44187935328027517,0.018060337290811457,0.04827589620903688,0.12043366019660251,0.9989517735852278,0.11651979667673659,0.3267635923116804,0.21715877735382177,0.5264875315209884
