source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,train_gate_mean,test_gate_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.35,0.387422000038001,-0.004021994549488317,0.8528384708798352,0.3027034169511171,0.29436036459629256,0.01079664938485205,0.03250779187686046,0.07777866021105329,0.9995371733280999,0.061939411227410354,0.27554608674704784,0.11685023126538806,0.44462706251142714
optuna_top500_minus_current_raw,positive_delta_AND_num_rings_high_soft_q20,0.5,0.38746420759826683,-0.003979786989222467,0.852627364515097,0.1821256038647343,0.17673814165042234,0.009418890963918675,0.03406597874757314,0.10370005745145594,0.9996541466141036,0.06139799179053875,0.2861093358665737,0.10716762608038491,0.42590607958273774
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_family_gap_high_soft_q20,0.25,0.3875639476051585,-0.003880046982330798,0.8523697677748866,0.43172196840082794,0.44187935328027517,0.012900240922008178,0.03448278300645438,0.08602404299757271,0.999460287391631,0.08322842619766894,0.3267635923116804,0.15511341239558687,0.5264875315209884
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_family_gap_high_soft_q20,0.25,0.3876187626597816,-0.003825231927707673,0.8522882382614666,0.4172694651886961,0.42368479348061183,0.012473199655865005,0.03433091916762123,0.08602404299757271,0.9994907751097915,0.08047871715970682,0.32191568518336117,0.1503743561952734,0.5193740246701397
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.25,0.3876193267039109,-0.003824667883578381,0.8523153271077067,0.3772726106584206,0.3917220191076239,0.01180134346880479,0.03433091916762123,0.08602404299757271,0.9994723758163243,0.07873307530214135,0.3286164690742696,0.14702891620150543,0.5273949158679578
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_family_gap_high_soft_q20,0.25,0.3876908112851449,-0.0037531833023444205,0.852203811544788,0.3548309103908491,0.3662494792723984,0.011285481078623491,0.034238129831076776,0.08602404299757271,0.9995049079004257,0.07578378958905342,0.3243190934084443,0.14188779843624183,0.5208326621020813
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.5,0.3877599978497313,-0.0036839967377579885,0.8525008774051054,0.20404216203026815,0.21185387508180342,0.011174718335078361,0.034775049193141075,0.07487216330589241,0.9996011708705943,0.06630773977910244,0.29923186131563684,0.1221700495387812,0.47219918583348375
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_num_rings_high_soft_q20,0.25,0.387834061001475,-0.0036099335860143023,0.8521137872721066,0.46631330223880607,0.4759286194487464,0.014162824086062993,0.03418410332596747,0.09152106805825255,0.9995574392165564,0.10118598318414927,0.36842404464433787,0.1761890498410786,0.5678506857082946
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_num_rings_high_soft_q20,0.25,0.3878747526606338,-0.003569241926855482,0.8521922963815809,0.4687050200921921,0.46917567064566057,0.013483662160701288,0.03234425285068419,0.09152106805825255,0.9995833048899813,0.09650589568113051,0.3701406654060297,0.1661278521079182,0.5657371201601651
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_family_gap_high_soft_q20,0.35,0.38789075362831005,-0.003553240959179249,0.8520688599472208,0.28884036099102905,0.30511890229418576,0.01227210912822628,0.03496341331463437,0.08033758352180875,0.9995065967244638,0.08006359286388952,0.332662986903688,0.14652790351027156,0.5253076089580787
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_num_rings_high_soft_q20,0.25,0.3879677936516241,-0.0034762009358652035,0.8521282553621503,0.4553684000761269,0.4480443024420273,0.012739508907828401,0.030274748304356613,0.09152106805825255,0.9996209923316723,0.09056279339485217,0.3603297836979623,0.15553146439891552,0.5502459834233142
optuna_top500_minus_current_raw,family_gap_high_soft_q20,0.25,0.38799857369523316,-0.0034454208922561347,0.8518028621377709,0.35172200178625607,0.3632681960751871,0.011066311615775662,0.03259925596210955,0.08602404299757271,0.9996049929460488,0.07876781735029507,0.3423713377627587,0.14073933994465657,0.5285660774455042
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_positive_delta_AND_family_gap_high_soft_q20,0.35,0.38800822051591227,-0.0034357740715770246,0.8519183263799579,0.24152273386092976,0.2660637208379361,0.011288135336885996,0.03416461591661708,0.08033758352180875,0.9995395732359434,0.07633991004944678,0.3365560663524623,0.13974923594263905,0.5287657431045996
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.5,0.38805695494368814,-0.0033870396438011596,0.8521786040246225,0.182879481873387,0.18539593510544322,0.009640260777576147,0.03212345459637529,0.07445137781148858,0.9996710348544839,0.055110843032618415,0.27656072175827545,0.10266890426096598,0.43975601623413196
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_family_gap_high_soft_q20,0.35,0.3881016545959151,-0.0033423399915741836,0.8518364236284914,0.2676776808341479,0.2786609623178256,0.01119798883797473,0.03142147932023054,0.07118158533480123,0.9995968154822856,0.07222576514135094,0.3255471025696349,0.13287710181580115,0.5162384515528162
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_num_rings_high_soft_q20,0.35,0.38812208276440063,-0.0033219118230886635,0.8521634808654478,0.30368625145172007,0.2992431316291944,0.012056666277788624,0.028297829710419012,0.06406474764077652,0.9996927229105516,0.0828709109697307,0.3611299245011109,0.14562134082037134,0.5587096661047598
optuna_top500_minus_current_raw,positive_delta_AND_family_gap_high_soft_q20,0.25,0.3881660514481717,-0.0032779431393176184,0.8515736845913727,0.25708674752605754,0.2851578331626878,0.009660634771003845,0.032534876618388255,0.08602404299757271,0.9996359250915878,0.07344827047251991,0.34971127156782383,0.13105552913375318,0.5350507238305366
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20_AND_family_gap_high_soft_q20,0.35,0.38819801767027523,-0.0032459769172140662,0.8518301626321374,0.23916032184434338,0.24468668876202454,0.009663067116897524,0.02755031982840546,0.058253255448941665,0.9997535205759213,0.06247670817869292,0.3441792775455727,0.11359051396262389,0.537986165342697
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_positive_delta_AND_family_gap_high_soft_q20,0.35,0.38822086238085046,-0.0032231322066388346,0.8516841790345254,0.22036005370404863,0.2396057808615759,0.010214015046634455,0.031013883762145155,0.07118158533480123,0.9996238366668945,0.06850208232690812,0.32983717154129477,0.12609843424816855,0.5202071088561508
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_num_rings_high_soft_q20,0.35,0.38831901415092956,-0.0031249804365597322,0.8519294655992696,0.3035993278917818,0.2995731733274174,0.011514862294430593,0.026520058091630716,0.06406474764077652,0.9996889008350969,0.07924937479885405,0.3645675259266369,0.13699323719044862,0.5568545800752651
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.25,0.3883493759342487,-0.0030946186532406217,0.8518859961350899,0.3193149084902687,0.324639598457701,0.009169795858635489,0.028756989088409846,0.07143947788488703,0.9996999226340821,0.05501335885328136,0.2946565382252003,0.10431859547733803,0.4775486933477203
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.25,0.3883706796745511,-0.0030733149129382187,0.8520037904514969,0.32847221230559664,0.3278364498217493,0.008664413278414357,0.026238162662621186,0.05792615305938753,0.9997083667542723,0.05101260474427755,0.29173129950256493,0.09541218815982208,0.46845373036505156
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MAX_positive_delta_AND_num_rings_high_soft_q20,0.25,0.3884852545201106,-0.0029587400673786735,0.8518872841192137,0.3027034169511171,0.29436036459629256,0.007711892417751471,0.02321985134061464,0.05555618586503819,0.9997520984083103,0.04424243659100754,0.27554608674704867,0.08346445090384867,0.4446270625114273
optuna_top500_minus_current_raw,positive_delta_AND_num_rings_high_soft_q20,0.35,0.38853490158150583,-0.002909093005983465,0.851720429209016,0.1821256038647343,0.17673814165042234,0.006593223674743076,0.023846185123301212,0.07259004021601889,0.9998131627301069,0.04297859425337738,0.2861093358665752,0.0750173382562697,0.4259060795827389
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95_MEAN_num_rings_high_soft_q20,0.35,0.38853881451738975,-0.0029051800700995445,0.8517165604368511,0.28243664773490074,0.27311523335105725,0.01044074200417905,0.02509345468164437,0.06406474764077652,0.9997292548410587,0.07141154707631554,0.35207808727124995,0.12334243549597826,0.5382036535393109
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.35,0.38857544542292793,-0.0028685491645613626,0.8517760340677281,0.20412908559020643,0.21152383338358044,0.008364106817912869,0.027129250429823237,0.06213966851151387,0.9997936079254558,0.05003695401624809,0.2973951796889989,0.09414713830706933,0.4773134495063776
optuna_top500_minus_current_raw,num_rings_high_soft_q20,0.25,0.3886713947641361,-0.0027725998233532057,0.8515705134209028,0.38123993558776165,0.3521767381416504,0.009984530424639003,0.02483784883656952,0.09152106805825255,0.9997588537044625,0.07760464868595918,0.36238746237196207,0.12711838805919573,0.530574717751391
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_family_gap_high_soft_q20,0.25,0.38868247898757685,-0.0027615155999124452,0.8514342257258344,0.2889272845509673,0.3047888605959628,0.009152795079703074,0.025837341331200216,0.06851228522793829,0.9997486318747584,0.059775092167690135,0.3242319618194995,0.11082571938585302,0.5172779083780104
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95_MEAN_positive_delta_AND_num_rings_high_soft_q20,0.35,0.38876956479848357,-0.002674429789005728,0.8515590126325188,0.20404216203026815,0.21185387508180342,0.007822302834554838,0.024342534435198716,0.05241051431412469,0.999796096718775,0.04641541784537153,0.29923186131563634,0.08551903467714665,0.4721991858334837
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95_MEAN_positive_delta_AND_family_gap_high_soft_q20,0.25,0.3887717119568838,-0.0026722826306054825,0.8513209207511491,0.24160965742086798,0.26573367913971313,0.008449956657317147,0.025732937316162108,0.06851228522793829,0.9997616980396844,0.05711531872880249,0.32692859901041527,0.10598381398040126,0.5192928213437532
