proxy,pearson_error,pearson_abs_error,spearman_true
nn_train_tanimoto,-0.013728631137466023,-0.17205816173937358,0.16731368145724038
nn_train_pec50,-0.11899842271329747,-0.13304604061432582,0.01467559803622315
nn_potent_tanimoto,0.09195257393247579,0.06494963936966158,0.08432092595778466
log2fc_8p25_pred,-0.10319815228109729,-0.3149354469453074,0.7931079774971437
log2fc_33_pred,-0.12254746720903788,-0.37365125264614235,0.7696839041761652
lf_mean,-0.11481068430003463,-0.3502007788020578,0.7878007785244969
emax_estimate,0.22261408989158435,-0.06094479969430393,0.08620149842589842
emax_vs_pos_ctrl,0.21017740590993853,-0.030315331865683075,0.01156796361583937
