case,mae,bias,spearman
id55 g35,0.4065659854303302,0.051590919662223914,0.848761687583943
id57 g50,0.40686872643612965,0.05191501828503442,0.8485879179443052
id58 combo,0.406993003516025,0.05880584930682029,0.8478946919405478
id59 lift,0.40719030610290746,0.059612246598271426,0.8480399322363643
id56 bad swap,0.4131446821061836,0.04029020810596772,0.8423933452255339
