model,as1_mae,low_tail_mae,high_tail_mae
id55 anchor,0.4065659854303302,1.1437751819252127,0.5507141813659158
best single temp0.7,0.41067424664031627,0.9717503833333332,0.66599372
top500 seed10,0.42141363992094866,1.058279625,0.6604294900000001
broad optuna,0.43758927826086963,1.185735533333333,0.71845078
ChemProp LF embed,0.4441257126482214,1.1380567750000001,0.63151151
bad OOF top500,0.4467205841897234,1.0576079708333335,0.6297582300000002
KERMT LF embed,0.45455145375494077,1.2792515708333332,0.73676761
MoLFormer LF embed,0.505530419762846,1.3537325249999999,0.8790150499999999
direct MoLFormer LoRA,0.5307346670806644,1.8512336409091947,0.7663751659393311
