true_bin,n,mae,bias,true_mean,pred_mean
<3,24,1.1437751819252127,1.1236529872613779,2.319166666666667,3.4428196539280447
3-4,31,0.5036229857412946,0.13941842815107497,3.564516129032258,3.703934557183333
4-5,86,0.34145173046126126,0.015253501262852551,4.644011627906977,4.659265129169829
5-6,102,0.24437536035647733,-0.13766470183686183,5.4175490196078435,5.279884317770981
>=6,10,0.5507141813659158,-0.5507141813659158,6.1884999999999994,5.637785818634084
